attrib_name,TCGA.OR.A5J1,TCGA.OR.A5J2,TCGA.OR.A5J3,TCGA.OR.A5J4,TCGA.OR.A5J5,TCGA.OR.A5J6,TCGA.OR.A5J7,TCGA.OR.A5J8,TCGA.OR.A5J9,TCGA.OR.A5JA,TCGA.OR.A5JB,TCGA.OR.A5JC,TCGA.OR.A5JD,TCGA.OR.A5JE,TCGA.OR.A5JF,TCGA.OR.A5JG,TCGA.OR.A5JI,TCGA.OR.A5JJ,TCGA.OR.A5JK,TCGA.OR.A5JL,TCGA.OR.A5JM,TCGA.OR.A5JO,TCGA.OR.A5JP,TCGA.OR.A5JQ,TCGA.OR.A5JR,TCGA.OR.A5JS,TCGA.OR.A5JT,TCGA.OR.A5JV,TCGA.OR.A5JW,TCGA.OR.A5JX,TCGA.OR.A5JY,TCGA.OR.A5JZ,TCGA.OR.A5K0,TCGA.OR.A5K1,TCGA.OR.A5K2,TCGA.OR.A5K3,TCGA.OR.A5K4,TCGA.OR.A5K5,TCGA.OR.A5K6,TCGA.OR.A5K8,TCGA.OR.A5K9,TCGA.OR.A5KO,TCGA.OR.A5KT,TCGA.OR.A5KU,TCGA.OR.A5KV,TCGA.OR.A5KW,TCGA.OR.A5KX,TCGA.OR.A5KY,TCGA.OR.A5KZ,TCGA.OR.A5L3,TCGA.OR.A5L4,TCGA.OR.A5L5,TCGA.OR.A5L6,TCGA.OR.A5L8,TCGA.OR.A5L9,TCGA.OR.A5LA,TCGA.OR.A5LB,TCGA.OR.A5LC,TCGA.OR.A5LD,TCGA.OR.A5LE,TCGA.OR.A5LG,TCGA.OR.A5LH,TCGA.OR.A5LJ,TCGA.OR.A5LK,TCGA.OR.A5LL,TCGA.OR.A5LM,TCGA.OR.A5LN,TCGA.OR.A5LO,TCGA.OR.A5LP,TCGA.OR.A5LR,TCGA.OR.A5LS,TCGA.OR.A5LT,TCGA.OU.A5PI,TCGA.P6.A5OF,TCGA.P6.A5OG,TCGA.PA.A5YG,TCGA.PK.A5H8,TCGA.PK.A5H9,TCGA.PK.A5HA,TCGA.PK.A5HB
hsa-mir-516a-1,0,1.3584,0,0.2141,0,2.9512,0,0,0,1.7646,0,0,0,0,0,0,0,0.438,2.0118,0,0,0.166,0,0,0,0,0,2.5064,0,0,0,0,0,0,0,0,0,0,1.8082,0,0,0,0,0.4721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5293,0,0,0,0,0,0,0,0,0,0,0,0.4092,0,0,0,0,0
hsa-mir-516a-2,0,1.244,0,0,0,2.7348,0,0.6163,0,1.5281,0,0,0,0,0,0,0,0,1.4186,0,0,0,0,0,0,0,0,1.6453,0,0,0,0,0,0,0,0,0,0,2.4272,0.4096,0,0,0.2585,0.2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0
hsa-mir-516b-1,0,0.9837,0,0.2141,0,0,0,0,0,1.3457,0,0,0,0,0,0,0,0,1.2385,0,0,0,0,0,0,0,0,1.7402,0,0,0,0,0,0,0,0,0,0,1.6732,0.2193,0,0,0.2585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4092,0,0,0.194,0,0
hsa-mir-516b-2,0,0.6658,0,0,0.4018,0,0,0,0,0.5982,0,0,0,0,0,0,0,0,1.0327,0,0,0,0,0,0,0,0,0.5116,0,0,0,0,0,0,0,0,0,0,0.7009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4092,0,0,0,0,0
hsa-mir-517a,0,2.176,0,0.4005,0,0,0,0,0,3.1223,0,0.2758,0,0,0,0,0,0,2.7099,0,0,0.166,0,0,0,0,0,3.2817,0,0,0.8653,0,0,0,0,0,0,0,3.8837,0.2193,0,0,0.2585,0.2553,0,0,0,0.3883,0,0,0,0,0,0,0,0,0,0,0,0.1446,0,0,0,0,0,0,0.2124,0,0,0,0,0.2073,0,0,0.4092,0,0,0,0,1.0184
hsa-mir-517b,0,2.176,0,0.4005,0,0,0,0,0,3.1223,0,0.2758,0,0,0,0,0,0,2.7099,0,0,0.166,0,0,0,0,0,3.2817,0,0,0.8653,0,0,0,0,0,0,0,3.8837,0.2193,0,0,0.2585,0.2553,0,0,0,0.3883,0,0,0,0,0,0,0,0,0,0,0,0.1446,0,0,0,0,0,0,0.2124,0,0,0,0,0.2073,0,0,0.4092,0,0,0,0,1.0184
hsa-mir-517c,0,0.7521,0,0,0,0,0,0,0,0.8925,0,0,0,0,0,0,0,0,0.6068,0,0,0.166,0,0,0,0,0,1.0455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2073,0,0,0,0,0,0,0,0.4243
hsa-mir-518a-1,0,0.7521,0,0,0,0.3441,0,0,0,0.5982,0,0,0,0,0,0,0,0,0.3937,0,0,0,0,0,0,0,0,1.187,0,0,0,0,0,0,0,0,0,0,0.3926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-518a-2,0,0.1345,0,0,0,0,0,0.6163,0,0.425,0,0,0,0,0,0,0,0,0.3937,0,0,0,0,0,0,0,0,0.2784,0,0,0,0,0,0,0,0,0,0,0.7009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-518b,0,1.3584,0,0.2141,0.4018,0,0,0.3408,0,1.5281,0,0,0,0.2571,0,0,0,0,1.5273,0,0,0.166,0,0,0.2469,0,0,2.1391,0,0,0,0,0,0.2755,0,0,0,0,2.3408,0,0,0,0,0.2553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5695,0,0,0.194,0,0
